year,raw_var_name,position,label,value_labels,missing_values
2012,ARTHRIT2,,"C5.9. (Ever told) you had some form of arthritis, rheumatoid arthritis, gout, lupus, or fibromyalgia?",1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,ADIAG,,C5.4. (Ever told) you had asthma?,1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,ASTILL,,C5.5. Do you still have asthma?,1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,asthmst,,Computed Asthma Status,1 - Current; 2 - Former; 3 - Never; 9a - Don't know/Not Sure/Refused/Missing,
2012,casthma,,Risk Factor for Current Asthma Prevalence,1 - Doesn't currently have asthma; 2 - Currently has asthma; 9a - Don't know/Not Sure/Refused/Missing,
2012,ltasthm,,Risk Factor for Lifetime Asthma Prevalence,1 - Not told had asthma; 2 - Told had asthma; 9a - Don't know/Not sure/Refused/Missing,
2012,CADIAG,,"M24.1. Has a doctor, nurse, or other health professional EVER said that the child has asthma?",1 - Yes; 2 - No; 7a - (DO NOT READ) Don't know/Not sure; 9a - (DO NOT READ) Refused,
2012,CASTILL,,M24.2. Does the child still have asthma?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,CONTACT,,OR91.1. Would it be okay if we called you back to ask additional questions at a later time?,1 - Yes; 2 - No,
2012,NAME,,"OR91.2. So that we can contact you more easily in the future, may I please have your first name?",1 - Yes (ENTER NAME); 2 - Refused,
2012,CONTACTCASTHMA,,OR91.A1. Would it be okay if we call back within the next 2 weeks to talk in more detail about your child's experiences with asthma?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,CONTACTCASTHMA2,,OR91.A2. Would it be okay if we call back within the next 2 weeks to talk in more detail about your or your child's experiences with asthma?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,CHILDNAME,,"OR91.A3. Can I please have your child's first name, initials, or nickname so we can ask about the right child when we call back?",,
2012,CBASTHMA,,OR91.A4. What day or time would be convenient for you?,,
2012,CSBMM,,M23.1. What is the birth month of the Xth child?,,
2012,CSBYY,,M23.1. What is the birth year of the Xth child?,,
2012,MOYRBIR,,"M23.1, total",,
2012,CHILDAGE1,,Child's age reported in months (total months),,
2012,CHILDAGE2,,Child's age reported years: (Total months/12),,
2012,CSGENDER,,M23.2. Is the child a boy or girl?,1 - Boy; 2 - Girl; 9a - Refused,
2012,CSHISP,,M23.3. Is the child Hispanic or Latino?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,CSRACEA,,M23.4.1. Which one or more of the following would you say is the race of the child? (RECORD FIRST RESPONSE),"1 - White; 2 - Black or African American; 3 - Asian; 4 - Native Hawaiian or Other Pacific Islander; 5 - American Indian, Alaska Native, OR; 6 - Other (Specify); 7a - (DO NOT READ) Don't know/Not sure; 8a - (DO NOT READ) No additional choices; 9a - (DO NOT READ) Refused",
2012,CSRACEB,,M23.4.2. Which one or more of the following would you say is the race of the child? (RECORD SECOND RESPONSE),"1 - White; 2 - Black or African American; 3 - Asian; 4 - Native Hawaiian or Other Pacific Islander; 5 - American Indian, Alaska Native, OR; 6 - Other (Specify); 7a - (DO NOT READ) Don't know/Not sure; 8a - (DO NOT READ) No additional choices; 9a - (DO NOT READ) Refused",
2012,CSRACEC,,M23.4.3. Which one or more of the following would you say is the race of the child? (RECORD THIRD RESPONSE),"1 - White; 2 - Black or African American; 3 - Asian; 4 - Native Hawaiian or Other Pacific Islander; 5 - American Indian, Alaska Native, OR; 6 - Other (Specify); 7a - (DO NOT READ) Don't know/Not sure; 8a - (DO NOT READ) No additional choices; 9a - (DO NOT READ) Refused",
2012,CSRACED,,M23.4.4. Which one or more of the following would you say is the race of the child? (RECORD FOURTH RESPONSE),"1 - White; 2 - Black or African American; 3 - Asian; 4 - Native Hawaiian or Other Pacific Islander; 5 - American Indian, Alaska Native, OR; 6 - Other (Specify); 7a - (DO NOT READ) Don't know/Not sure; 8a - (DO NOT READ) No additional choices; 9a - (DO NOT READ) Refused",
2012,CSRACEE,,M23.4.5. Which one or more of the following would you say is the race of the child? (RECORD FIFTH RESPONSE),"1 - White; 2 - Black or African American; 3 - Asian; 4 - Native Hawaiian or Other Pacific Islander; 5 - American Indian, Alaska Native, OR; 6 - Other (Specify); 7a - (DO NOT READ) Don't know/Not sure; 8a - (DO NOT READ) No additional choices; 9a - (DO NOT READ) Refused",
2012,CSRACEF,,M23.4.6. Which one or more of the following would you say is the race of the child? (RECORD SIXTH RESPONSE),"1 - White; 2 - Black or African American; 3 - Asian; 4 - Native Hawaiian or Other Pacific Islander; 5 - American Indian, Alaska Native, OR; 6 - Other (Specify); 7a - (DO NOT READ) Don't know/Not sure; 8a - (DO NOT READ) No additional choices; 9a - (DO NOT READ) Refused",
2012,CSRACEAO,,Enter M23.4.1. Other Here:,,
2012,CSRACEBO,,Enter M23.4.2. Other Here:,,
2012,CSRACECO,,Enter M23.4.3. Other Here:,,
2012,CSRACEDO,,Enter M23.4.4. Other Here:,,
2012,CSRACEEO,,Enter M23.4.5. Other Here:,,
2012,CSRACE1O,,Enter M23.4.6. Other Here:,,
2012,CSRACEFO,,Enter M23.4.6. Other Here:,,
2012,CSRACE1,,M23.5. Which ONE of these groups would you say best represents the child's race?,"1 - White; 2 - Black or African American; 3 - Asian; 4 - Native Hawaiian or Other Pacific Islander; 5 - American Indian, Alaska Native, OR; 6 - Other (Specify); 7a - (DO NOT READ) Don't know/Not sure; 9a - (DO NOT READ) Refused",
2012,CSRELATE,,M23.6. How are you related to the child?,"1 - Parent (include biologic, step or adoptive parent); 2 - Grandparent; 3 - Foster parent or guardian (other than parent or grandparent); 4 - Sibling (brother or sister)(include biologic, step and adopt; 5 - Other relative; 6 - Not related in any way; 7a - (DO NOT READ) Don't know/Not sure; 9a - (DO NOT READ) Refused",
2012,SKINCANCER,,C5.6. (Ever told) you had skin cancer?,1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,OTHERCANCER,,C5.7. (Ever told) you had any other types of cancer?,1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,HADMAM,,C15.1. A mammogram is an x-ray of each breast to look for breast cancer.  Have you EVER had a mammogram?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,HOWLONG,,C15.2. How long has it been since you had your last mammogram?,1 - Within the past year (anytime less than 12 months ago); 2 - Within the past 2 years (1 year but less than 2 years ago); 3 - Within the past 3 years (2 years but less than 3 years ago); 4 - Within the past 5 years (3 years but less than 5 years ago); 5 - 5 or more years ago; 7a - Don’t know/Not sure; 9a - Refused,
2012,BEXAM,,"C15.3.A clinical breast exam is when a doctor, nurse or other health professional feels the breasts for lumps.  Have you EVER had a clinical breast exam?   (DO NOT READ)",1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,BEXAMLNG,,C15.4 How long has it been since your last breast exam?    (READ IF NECESSARY:),1 - Within the past year (anytime less than 12 months ago); 2 - Within the past 2 years (1 year but less than 2 years ago); 3 - Within the past 3 years (2 years but less than 3 years ago); 4 - Within the past 5 years (3 years but less than 5 years ago); 5 - 5 or more years ago; 7a - (DO NOT READ) Don't know / Not sure; 9a - (DO NOT READ) Refused,
